🔍 Listando clases relacionadas con 'SendRequests' o 'Friend'...
🗂 Assembly: Takasho.dll | Namespace:  | Clase: SendRequestsV1Requester
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FriendListResult
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FriendSearchResult
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: IFriendService
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: PlayerProfileFriendStatus
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: TradeGetFriendsResult
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <GetOtherListByFriendId>d__17
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <SendFriendCancel>d__18
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <SendFriendRequest>d__17
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <SendFriendCancel>d__30
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <SendFriendRequest>d__29
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendApproveRequestAsync>d__10
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendCancelSentRequestsAsync>d__15
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendDeleteAsync>d__12
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendListAsync>d__7
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendRejectRequestsAsync>d__11
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendSearchAsync>d__8
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <FriendSendRequestsAsync>d__13
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace: Lettuce.Infrastructure.Impl.DomainService | Clase: FriendService
🗂 Assembly: Lettuce.Infrastructure.Impl.DomainService.dll | Namespace:  | Clase: <GetFriends>d__28
🗂 Assembly: Lettuce.Presentation.Common.Presenter.dll | Namespace: Lettuce.Presentation.Common.Presenter | Clase: FriendRequestErrorPresenter
🗂 Assembly: Lettuce.Presentation.Common.Presenter.dll | Namespace: Lettuce.Presentation.Common.Presenter | Clase: IFriendRequestErrorPresenterTransaction
🗂 Assembly: Lettuce.Presentation.Trade.dll | Namespace: Lettuce.Presentation.Trade | Clase: TradeFriendAddState
🗂 Assembly: Lettuce.Presentation.Trade.dll | Namespace:  | Clase: <UpdateFriendListAsync>d__3
🗂 Assembly: Lettuce.Presentation.Trade.dll | Namespace: Lettuce.Presentation.Trade | Clase: TradeFriendSelectState
🗂 Assembly: Lettuce.Presentation.Trade.dll | Namespace:  | Clase: <UpdateFriendListAsync>d__0
🗂 Assembly: Lettuce.Presentation.Trade.dll | Namespace:  | Clase: <UpdateFriendListAsync>d__5
